codigo_dane,nombre_entidad,anio,poblacion_total,poblacion_rural,poblacion_urbana,nbi,valor_agregado,peso_relativo_va,actividades_primarias,actividades_secundarias,actividades_terciarias,ingresos_tributarios_percapita,icld,gastos_funcionamiento,deuda_publica,categoria,area_km2,cobertura_acueducto,cobertura_alcantarillado,icm,pcc,gpi,eis,cti,seg,sos,codigo_departamento,nombre_departamento,tipo,longitud,latitud
05004,ABRIAQUÍ,2025,2872.0,1843.0,1029.0,11.63,,,,,,0.0,1169326000.0,738702000.0,,6,296.97,63.1,46.47,,,,,,,,05,ANTIOQUIA,Municipio,-76064304,6632282
05021,ALEJANDRÍA,2018,3361.0,1560.0,1801.0,33.14,52334338900.0,0.0405974635820991,7682552217.3319,4847547760.71214,39804238918.6212,302230.0,,987122000.0,480000000.0,6,151.0,59.94,55.69,46.07355499267578,14.92518997192383,41.81662368774414,50.34377288818359,40.74589157104492,49.74629211425781,78.86355590820312,05,ANTIOQUIA,Municipio,-75141346,6376061
05021,ALEJANDRÍA,2019,3307.0,1508.0,1799.0,33.14,56855982600.0,,7401577308.281,5036173374.86313,44418231916.111206,477000.0,2330771000.0,1138215000.0,1532000000.0,6,151.0,59.94,55.69,51.81632614135742,21.46351623535156,42.45157623291016,67.08244323730469,40.09375,57.78391265869141,82.02274322509766,05,ANTIOQUIA,Municipio,-75141346,6376061
05021,ALEJANDRÍA,2020,4698.0,2061.0,2637.0,12.68,54956365810.0,0.0404375494703716,8120375039.5414,3772664688.2993,43063326080.6527,200000.0,1735241000.0,1345109000.0,1401000000.0,6,151.0,59.94,55.69,49.47336196899414,21.35391044616699,48.54934310913086,48.27463531494141,42.47552871704102,53.76044845581055,82.42630004882812,05,ANTIOQUIA,Municipio,-75141346,6376061
05021,ALEJANDRÍA,2021,4771.0,2037.0,2734.0,12.68,69360247900.0,0.0428575079898227,13895098158.6426,4609140772.49188,50856008971.6647,0.0,1903000000.0,1423648000.0,1078000000.0,6,151.0,59.94,55.69,46.91105651855469,21.51566886901855,47.44061279296875,49.873046875,35.62031555175781,53.74014282226562,73.27655029296875,05,ANTIOQUIA,Municipio,-75141346,6376061
05021,ALEJANDRÍA,2022,4845.0,2031.0,2814.0,12.68,78032421860.0,0.0409089814684059,14533386967.1608,3878255589.98469,59620779303.7721,148000.0,1390742000.0,1313254000.0,1219000000.0,6,129.0,73.34,57.21,45.90332794189453,21.67565155029297,44.28281021118164,52.54564666748047,45.51803207397461,31.7185115814209,79.6793212890625,05,ANTIOQUIA,Municipio,-75141346,6376061
05021,ALEJANDRÍA,2023,4920.0,2031.0,2889.0,12.68,83583021810.0,0.0398930126359787,14432319300.2848,4102331841.2035003,65048370669.349495,108000.0,1616207000.0,1078064000.0,1018000000.0,6,128.86,73.34,57.21,47.00053405761719,21.54274940490723,53.41507339477539,55.09989547729492,46.78561019897461,27.02338409423828,78.1364974975586,05,ANTIOQUIA,Municipio,-75141346,6376061
05021,ALEJANDRÍA,2024,4955.0,2023.0,2932.0,12.68,,,,,,266000.0,1855703000.0,1452197000.0,494000000.0,6,128.86,73.34,57.21,47.30842590332031,21.61342811584473,55.31625366210938,54.55122756958008,47.49125289916992,29.02475738525391,75.85364532470703,05,ANTIOQUIA,Municipio,-75141346,6376061
05021,ALEJANDRÍA,2025,4989.0,2029.0,2960.0,12.68,,,,,,271000.0,1925897000.0,1622622000.0,,6,128.86,73.34,57.21,,,,,,,,05,ANTIOQUIA,Municipio,-75141346,6376061
05030,AMAGÁ,2018,30181.0,12811.0,17370.0,27.07,492098703700.0,0.381737108453938,56990884675.0764,191849306469.935,243258512579.68198,244660.0,,3190070000.0,5172000000.0,6,85.0,94.0,92.01,46.91323089599609,45.11114120483398,51.31489944458008,71.8380355834961,48.76474380493164,8.521697998046875,55.92887115478516,05,ANTIOQUIA,Municipio,-75702188,6038708
05030,AMAGÁ,2019,30376.0,12825.0,17551.0,27.07,535863044299.99994,,58431443894.3938,214469145899.21,262962454480.185,246000.0,8394571000.0,3706142000.0,4728000000.0,6,85.0,94.0,92.01,45.54985809326172,48.06351089477539,47.74449920654297,62.23199081420898,48.42103576660156,9.833646774291992,57.00445938110352,05,ANTIOQUIA,Municipio,-75702188,6038708
05030,AMAGÁ,2020,31283.0,16037.0,15246.0,9.66,531806447200.0,0.391309527165958,46556487254.6201,235372892666.13998,249877067327.917,0.0,7554080000.0,3700237000.0,4013000000.0,6,85.0,94.0,92.01,47.49221801757812,44.0206298828125,50.84604263305664,55.21703338623047,52.61654281616211,28.25614929199219,53.99691390991211,05,ANTIOQUIA,Municipio,-75702188,6038708
05030,AMAGÁ,2021,31768.0,15856.0,15912.0,9.66,648790686500.0,0.400885995539641,57473825341.5627,294053755830.293,297263105351.329,345000.0,8921790000.0,4371497000.0,3387000000.0,6,85.0,94.0,92.01,48.912109375,45.92301559448242,58.15448760986328,56.56896591186523,53.51515197753906,33.36777877807617,45.94326019287109,05,ANTIOQUIA,Municipio,-75702188,6038708
05030,AMAGÁ,2022,32259.0,15807.0,16452.0,9.66,780886090400.0,0.409384379446872,80795338595.3013,342488594478.201,357602157305.932,443000.0,11607029000.0,5024325000.0,4901000000.0,6,84.0,95.85,93.01,48.17364501953125,48.80968856811523,58.81600570678711,58.36590194702148,55.96913909912109,30.63407897949219,36.44705581665039,05,ANTIOQUIA,Municipio,-75702188,6038708
05030,AMAGÁ,2023,32762.0,15805.0,16957.0,9.66,850185623900.0,0.405781761693421,89175197682.6458,352295166571.237,408715259668.45795,0.0,16165328000.0,4932315000.0,11889000000.0,5,84.12,95.85,93.01,50.13280487060547,50.22522354125977,57.57628631591797,59.99728775024414,57.5605354309082,29.9061450958252,45.53134536743164,05,ANTIOQUIA,Municipio,-75702188,6038708
05030,AMAGÁ,2024,32412.0,15488.0,16924.0,9.66,,,,,,596000.0,16398810000.0,4850402000.0,10953000000.0,5,84.12,95.85,93.01,50.62906265258789,49.79190444946289,60.48268127441406,61.15645599365234,62.8693733215332,28.51900482177734,40.95495986938477,05,ANTIOQUIA,Municipio,-75702188,6038708
05030,AMAGÁ,2025,32628.0,15472.0,17156.0,9.66,,,,,,542000.0,14245684000.0,5798445000.0,,6,84.12,95.85,93.01,,,,,,,,05,ANTIOQUIA,Municipio,-75702188,6038708
05031,AMALFI,2018,22567.0,9978.0,12589.0,45.29,742754064600.0,0.576178694953059,65664663725.581,61529886051.690704,615559514789.65,164000.0,,3481413000.0,4456000000.0,6,1224.0,59.77,56.57,37.899169921875,21.54559516906738,46.14449691772461,53.82843780517578,30.42958450317383,15.57713890075684,59.86975479125977,05,ANTIOQUIA,Municipio,-75077501,6909655
05031,AMALFI,2019,22714.0,10018.0,12696.0,45.29,797022298100.0,,58505641531.4437,63750927944.7214,674765728657.888,184000.0,5801139000.0,3728732000.0,,6,1224.0,59.77,56.57,40.08538055419922,23.58625602722168,37.58734893798828,59.93752670288086,30.21519660949707,32.87207412719727,56.31387329101562,05,ANTIOQUIA,Municipio,-75077501,6909655
05031,AMALFI,2020,27071.0,11472.0,15599.0,22.31,873553235200.0,0.642770890002985,77672532070.9323,51768309398.7282,744112393696.9979,0.0,6064772000.0,4189349000.0,,6,1224.0,59.77,56.57,37.38517761230469,23.41802024841309,41.12070846557617,51.62861251831055,28.83523750305176,34.01820373535156,45.290283203125,05,ANTIOQUIA,Municipio,-75077501,6909655
05031,AMALFI,2021,27496.0,11342.0,16154.0,22.31,982963847200.0,0.607370680043929,88416080864.3316,58732768357.8824,835814998016.469,200000.0,6093213000.0,4421261000.0,,6,1224.0,59.77,56.57,38.96559143066406,23.8449535369873,37.53438568115234,52.23720169067383,27.84798812866211,42.90362548828125,49.42538452148438,05,ANTIOQUIA,Municipio,-75077501,6909655
05031,AMALFI,2022,27921.0,11307.0,16614.0,22.38,1112524720000.0,0.583247989408341,91815871762.3561,48643917532.5782,972064930837.56,0.0,6704653000.0,4597273000.0,4719000000.0,6,1208.0,59.0,56.28,37.6561164855957,23.85047340393066,37.41696929931641,57.60143280029297,23.16055297851562,41.02357482910156,42.88369369506836,05,ANTIOQUIA,Municipio,-75077501,6909655
05031,AMALFI,2023,28357.0,11306.0,17051.0,22.38,1384613268000.0,0.66085663563077,91186275881.2081,59617276475.709,1233809715480.04,0.0,6243325000.0,3931302000.0,8181000000.0,6,1208.35,59.0,56.28,39.53932952880859,24.00473785400391,36.84706497192383,50.62660217285156,27.30556869506836,54.82872772216797,43.62328720092773,05,ANTIOQUIA,Municipio,-75077501,6909655
05031,AMALFI,2024,27846.0,10981.0,16865.0,22.38,,,,,,0.0,7037439000.0,5294022000.0,7919000000.0,6,1208.35,59.0,56.28,41.04989624023438,24.04445266723633,37.27716445922852,50.69980621337891,29.86696624755859,58.48946380615234,45.9215202331543,05,ANTIOQUIA,Municipio,-75077501,6909655
05031,AMALFI,2025,28059.0,10961.0,17098.0,22.38,,,,,,174000.0,7542354000.0,5776282000.0,,6,1208.35,59.0,56.28,,,,,,,,05,ANTIOQUIA,Municipio,-75077501,6909655
05034,ANDES,2018,47003.0,23298.0,23705.0,30.49,680244917800.0,0.527688299126171,133860859929.149,207963647408.893,338420410486.106,103950.0,,5128820000.0,,6,449.0,70.3,61.99,42.15036392211914,26.20146942138672,56.6485481262207,50.34389877319336,26.06533622741699,23.71636390686035,69.92655944824219,05,ANTIOQUIA,Municipio,-75878828,5657194
05034,ANDES,2019,47384.0,23338.0,24046.0,30.49,678148702600.0,,136427750971.105,167596279401.895,374124672215.175,170000.0,9814954000.0,5427295000.0,3089000000.0,6,449.0,70.3,61.99,42.7922477722168,30.25228691101074,52.64165878295898,55.82221603393555,25.65204620361328,25.93774032592773,66.44754028320312,05,ANTIOQUIA,Municipio,-75878828,5657194
05034,ANDES,2020,44199.0,22743.0,21456.0,12.26,654588563000.0,0.481654072477265,178230429116.615,121812789735.743,354545344176.307,0.0,8941702000.0,4927281000.0,,6,449.0,70.3,61.99,42.91012573242188,30.19493865966797,54.20374298095703,47.39589309692383,26.03155326843262,33.93947219848633,65.6951675415039,05,ANTIOQUIA,Municipio,-75878828,5657194
05034,ANDES,2021,44885.0,22486.0,22399.0,12.26,654895909100.0,0.4046583959204,191383309555.143,76123610937.3265,387388988612.95703,191000.0,10012378000.0,5526360000.0,,6,449.0,70.3,61.99,44.22128295898438,30.27407646179199,45.15113067626953,62.0054817199707,27.78136253356934,36.20451736450195,63.91112518310547,05,ANTIOQUIA,Municipio,-75878828,5657194
05034,ANDES,2022,45577.0,22417.0,23160.0,12.29,779653138300.0,0.408737996678757,194221753451.964,79418816111.927,506012568758.693,0.0,11145411000.0,4828743000.0,,6,402.0,66.4,51.85,41.63564682006836,30.39520263671875,45.64836120605469,51.50733947753906,29.38052368164062,36.04302597045898,56.83943176269531,05,ANTIOQUIA,Municipio,-75878828,5657194
05034,ANDES,2023,46289.0,22414.0,23875.0,12.29,865271055000.0,0.412981827919939,196282780840.694,82673860514.4829,586314413641.0701,0.0,11286549000.0,6316344000.0,,6,402.49,66.4,51.85,45.46835708618164,30.70926475524902,53.76877212524414,54.20781707763672,29.61182022094727,41.31396484375,63.19850921630859,05,ANTIOQUIA,Municipio,-75878828,5657194
05034,ANDES,2024,46183.0,22146.0,24037.0,12.29,,,,,,228000.0,11839080000.0,6168185000.0,,6,402.49,66.4,51.85,46.07176971435547,30.56760787963867,54.14611053466797,55.49479675292969,32.93634033203125,47.4967041015625,55.7890510559082,05,ANTIOQUIA,Municipio,-75878828,5657194
05034,ANDES,2025,46485.0,22142.0,24343.0,12.29,,,,,,187000.0,13372121000.0,6612369000.0,,6,402.49,66.4,51.85,,,,,,,,05,ANTIOQUIA,Municipio,-75878828,5657194
05036,ANGELÓPOLIS,2018,9353.0,3818.0,5535.0,25.97,82186896940.0,0.0637550722121913,31915812157.8989,7258256472.69744,43012828311.5417,55920.0,,985755000.0,565000000.0,6,87.0,91.42,81.02,45.88645172119141,33.1323356628418,44.88857269287109,60.32410049438477,42.28176498413086,29.25178337097168,65.4401626586914,05,ANTIOQUIA,Municipio,-75711389,6109719
05036,ANGELÓPOLIS,2019,9492.0,3888.0,5604.0,25.97,83125968930.0,,27884229796.8558,7036600837.89639,48205138299.2346,0.0,2564468000.0,1329323000.0,452000000.0,6,87.0,91.42,81.02,48.57101058959961,35.43867874145508,46.04473495483398,76.1410140991211,43.48103332519531,24.6905517578125,65.63004302978516,05,ANTIOQUIA,Municipio,-75711389,6109719
05036,ANGELÓPOLIS,2020,5841.0,3510.0,2331.0,12.91,71801626030.0,0.0528324928658892,22282643746.8151,4663710944.52262,44855271335.4765,99000.0,1842630000.0,1038566000.0,321000000.0,6,87.0,91.42,81.02,47.05432891845703,30.9099178314209,51.90495300292969,60.06204605102539,44.22743988037109,35.45661926269531,59.76499176025391,05,ANTIOQUIA,Municipio,-75711389,6109719
05036,ANGELÓPOLIS,2021,5932.0,3470.0,2462.0,12.91,92530763310.0,0.0571745062593802,32087373174.692,6102543328.66953,54340846806.8261,0.0,1859382000.0,1191656000.0,,6,87.0,91.42,81.02,46.82551574707031,33.36709594726562,49.35535049438477,59.68901824951172,46.23413467407227,28.87213134765625,63.43537139892578,05,ANTIOQUIA,Municipio,-75711389,6109719
05036,ANGELÓPOLIS,2022,6023.0,3460.0,2563.0,13.03,113906874100.0,0.0597163856927208,44281710543.8703,5528636350.380731,64096527174.03731,0.0,2266906000.0,1363940000.0,159000000.0,6,82.0,88.83,63.75,47.37646484375,35.59844589233398,50.66014099121094,55.78395080566406,49.69876480102539,30.37019920349121,62.14729690551758,05,ANTIOQUIA,Municipio,-75711389,6109719
05036,ANGELÓPOLIS,2023,6117.0,3459.0,2658.0,13.03,131678047600.00002,0.0628480988297804,52164660496.8187,6245160883.82186,73268226181.0423,146000.0,2504110000.0,1489972000.0,1792000000.0,6,81.86,88.83,63.75,49.32584381103516,35.62990570068359,51.55198287963867,53.04437637329102,53.29940795898438,31.87483978271484,70.55455017089844,05,ANTIOQUIA,Municipio,-75711389,6109719
05036,ANGELÓPOLIS,2024,6109.0,3434.0,2675.0,13.03,,,,,,249000.0,2771790000.0,1580235000.0,1743000000.0,6,81.86,88.83,63.75,52.14788055419922,37.82913970947266,53.86937713623047,50.31412506103516,53.56526184082031,46.62007522583008,70.6893081665039,05,ANTIOQUIA,Municipio,-75711389,6109719
05036,ANGELÓPOLIS,2025,6183.0,3445.0,2738.0,13.03,,,,,,0.0,2942337000.0,1645862000.0,,5,81.86,88.83,63.75,,,,,,,,05,ANTIOQUIA,Municipio,-75711389,6109719
05038,ANGOSTURA,2018,11040.0,9287.0,1753.0,55.16,133490576000.0,0.103553019114893,32854451881.8312,20593614339.2576,80042509739.9495,0.0,,1856639000.0,200000000.0,6,392.0,68.32,25.89,32.46179962158203,10.38614940643311,29.50488662719727,51.25506210327148,23.45938110351562,27.18257522583008,52.98274612426758,05,ANTIOQUIA,Municipio,-75335116,6885175
05038,ANGOSTURA,2019,10932.0,9201.0,1731.0,55.16,136118032100.0,,30471873025.6277,20587021743.0428,85059137335.3373,98000.0,3285273000.0,1792621000.0,,6,392.0,68.32,25.89,35.4293327331543,14.00002574920654,29.75654029846191,44.36700439453125,26.93269538879395,33.37300872802734,64.14671325683594,05,ANTIOQUIA,Municipio,-75335116,6885175
05038,ANGOSTURA,2020,11536.0,8878.0,2658.0,20.06,132851888000.0,0.0977540038084701,31206394046.2977,18043413447.9647,83602080488.6956,172000.0,2972527000.0,2609969000.0,3894000000.0,6,392.0,68.32,25.89,34.23857879638672,14.00661087036133,35.30899429321289,32.37124633789062,29.09466361999512,46.6163444519043,48.03362274169922,05,ANTIOQUIA,Municipio,-75335116,6885175
05038,ANGOSTURA,2021,11715.0,8778.0,2937.0,20.06,145109628500.0,0.0896628436554995,39076633818.9683,9788719116.30256,96244275582.8455,133000.0,3394508000.0,2336829000.0,4281000000.0,6,392.0,68.32,25.89,38.37842559814453,15.6165018081665,33.34752655029297,38.32153701782227,28.77947998046875,55.94694519042969,58.25856399536133,05,ANTIOQUIA,Municipio,-75335116,6885175
05038,ANGOSTURA,2022,11896.0,8751.0,3145.0,20.52,164722371100.0,0.0863567254032345,41774008006.5907,8352462370.69437,114595900733.246,245000.0,4145142000.0,2626811000.0,4204000000.0,6,338.0,72.54,20.68,39.38993072509766,15.71719932556152,34.04199600219727,41.43164825439453,27.86940956115723,59.45109939575195,57.82823944091797,05,ANTIOQUIA,Municipio,-75335116,6885175
05038,ANGOSTURA,2023,12081.0,8750.0,3331.0,20.52,179277413100.0,0.0855666133072716,44247077658.2132,8947711584.22847,126082623862.504,139000.0,3815341000.0,2401585000.0,5165000000.0,6,338.35,72.54,20.68,41.47018432617188,14.54907321929932,35.02447509765625,49.35032272338867,32.6907958984375,59.60641098022461,57.60002136230469,05,ANTIOQUIA,Municipio,-75335116,6885175
05038,ANGOSTURA,2024,12121.0,8736.0,3385.0,20.52,,,,,,260000.0,4034489000.0,2783315000.0,4671000000.0,6,338.35,72.54,20.68,41.9907112121582,13.90599822998047,36.62124252319336,50.58351898193359,33.52034378051758,61.97842788696289,55.33473205566406,05,ANTIOQUIA,Municipio,-75335116,6885175
05038,ANGOSTURA,2025,12190.0,8751.0,3439.0,20.52,,,,,,308000.0,4537210000.0,2837159000.0,,6,338.35,72.54,20.68,,,,,,,,05,ANTIOQUIA,Municipio,-75335116,6885175
05040,ANORÍ,2018,17737.0,10557.0,7180.0,48.14,159435439800.0,0.123679301135297,17727389955.1846,13265495998.3078,128442553825.34601,136220.0,,2208026000.0,651000000.0,6,1447.0,68.17,52.15,26.31351280212402,13.96527862548828,28.29405784606934,44.77870559692383,17.60189819335938,20.80961799621582,32.43152236938477,05,ANTIOQUIA,Municipio,-75148355,7074703
05040,ANORÍ,2019,17962.0,10646.0,7316.0,48.14,163634906000.0,,15207652128.2906,13155649229.559,135271604624.89601,95000.0,3600969000.0,2446622000.0,,6,1447.0,68.17,52.15,30.19065093994141,14.3408670425415,32.7115592956543,55.44802856445312,7.433719158172607,25.34021377563477,45.86951446533203,05,ANTIOQUIA,Municipio,-75148355,7074703
05040,ANORÍ,2020,19104.0,10769.0,8335.0,27.72,172696065400.0,0.127071824816093,36845549649.0812,9283951428.59389,126566564337.03801,0.0,3429774000.0,2420708000.0,,6,1447.0,68.17,52.15,30.29932975769043,14.37596893310547,30.42744064331055,54.09403991699219,9.224807739257812,30.68079376220703,42.99292755126953,05,ANTIOQUIA,Municipio,-75148355,7074703
